sample_id,bodysite,gut_pharynx ,gut_mouth,pharynx_mouth
SRR5399344,gut,gut,gut,
SRR5399343,gut,gut,gut,
SRR5399336,gut,gut,gut,
SRR5399335,gut,gut,gut,
SRR5399334,gut,gut,gut,
SRR5399333,gut,gut,gut,
SRR5399329,gut,gut,gut,
SRR5399328,gut,gut,gut,
SRR5399321,gut,gut,gut,
SRR5399320,gut,gut,gut,
SRR5399319,gut,gut,gut,
SRR5399318,gut,gut,gut,
SRR5399317,gut,gut,gut,
SRR5399316,gut,gut,gut,
SRR5399312,gut,gut,gut,
SRR5399311,gut,gut,gut,
SRR5399310,gut,gut,gut,
SRR5399309,gut,gut,gut,
SRR5399308,gut,gut,gut,
SRR5399306,gut,gut,gut,
SRR5399305,gut,gut,gut,
SRR5399304,gut,gut,gut,
SRR5399303,gut,gut,gut,
SRR5399302,gut,gut,gut,
SRR5399301,gut,gut,gut,
SRR5399300,gut,gut,gut,
SRR5399299,gut,gut,gut,
SRR5399298,gut,gut,gut,
SRR5399297,gut,gut,gut,
SRR5399296,gut,gut,gut,
SRR5399295,gut,gut,gut,
SRR5399288,gut,gut,gut,
SRR5399287,gut,gut,gut,
SRR5399286,gut,gut,gut,
SRR5399285,gut,gut,gut,
SRR5399284,gut,gut,gut,
SRR5399283,gut,gut,gut,
SRR5399279,gut,gut,gut,
SRR5399278,gut,gut,gut,
SRR5399277,gut,gut,gut,
SRR5399275,gut,gut,gut,
SRR5399274,gut,gut,gut,
SRR5399264,gut,gut,gut,
SRR5399263,gut,gut,gut,
SRR5399262,gut,gut,gut,
SRR5399261,gut,gut,gut,
SRR5399260,gut,gut,gut,
SRR5399259,gut,gut,gut,
SRR5399258,gut,gut,gut,
SRR5399257,gut,gut,gut,
SRR5399256,gut,gut,gut,
SRR5399255,gut,gut,gut,
SRR5399254,gut,gut,gut,
SRR5399253,gut,gut,gut,
SRR5399252,gut,gut,gut,
SRR5399251,gut,gut,gut,
SRR5399250,gut,gut,gut,
SRR5399247,gut,gut,gut,
SRR5399246,gut,gut,gut,
SRR5399245,gut,gut,gut,
SRR5399244,gut,gut,gut,
SRR5399243,gut,gut,gut,
SRR5399242,gut,gut,gut,
SRR5399241,gut,gut,gut,
SRR5399240,gut,gut,gut,
SRR5399239,gut,gut,gut,
SRR5399238,gut,gut,gut,
SRR5399237,gut,gut,gut,
SRR5399236,gut,gut,gut,
SRR5399235,gut,gut,gut,
SRR5399234,gut,gut,gut,
SRR5399233,gut,gut,gut,
SRR5399230,gut,gut,gut,
SRR5399229,gut,gut,gut,
SRR5399228,gut,gut,gut,
SRR5399227,gut,gut,gut,
SRR5399226,gut,gut,gut,
SRR5399225,gut,gut,gut,
SRR5399224,gut,gut,gut,
SRR5399222,gut,gut,gut,
SRR5399221,gut,gut,gut,
SRR5399220,gut,gut,gut,
SRR5399219,gut,gut,gut,
SRR5399218,gut,gut,gut,
SRR5399215,gut,gut,gut,
SRR5399208,gut,gut,gut,
SRR5399207,gut,gut,gut,
SRR5399206,gut,gut,gut,
SRR5399187,gut,gut,gut,
SRR5399186,gut,gut,gut,
SRR5399185,gut,gut,gut,
SRR5399184,gut,gut,gut,
SRR5399183,gut,gut,gut,
SRR5399182,gut,gut,gut,
SRR5399181,gut,gut,gut,
SRR5399180,gut,gut,gut,
SRR5399179,gut,gut,gut,
SRR5399178,gut,gut,gut,
SRR5399177,gut,gut,gut,
SRR5399176,gut,gut,gut,
SRR5399175,gut,gut,gut,
SRR5399174,gut,gut,gut,
SRR5399173,gut,gut,gut,
SRR5399171,gut,gut,gut,
SRR5399170,gut,gut,gut,
SRR5399168,gut,gut,gut,
SRR5399167,gut,gut,gut,
